date,hour,fw,bw
2016-11-24,07,314,276
2016-11-24,08,600,539
2016-11-24,09,877,759
2016-11-24,10,1286,1218
2016-11-24,11,1439,1368
2016-11-24,12,1102,1102
2016-11-24,13,1124,1135
2016-11-24,14,1248,1139
2016-11-24,15,1145,1145
2016-11-24,16,1263,1264
2016-11-24,17,1108,1160
2016-11-24,18,884,955
2016-11-24,19,612,621
2016-11-24,20,270,273
2016-11-24,21,222,227
2016-11-24,22,220,326
2016-11-24,23,135,135
2016-11-25,00,40,46
2016-11-25,01,80,121
2016-11-25,02,105,147
2016-11-25,03,22,10
2016-11-25,04,10,8
2016-11-25,05,41,19
2016-11-25,06,67,44
2016-11-25,07,288,237
2016-11-25,08,524,432
2016-11-25,09,692,602
2016-11-25,10,1046,903
2016-11-25,11,1227,1179
2016-11-25,12,1103,1142
2016-11-25,13,1039,1048
2016-11-25,14,953,918
2016-11-25,15,1033,934
2016-11-25,16,1222,1121
2016-11-25,17,1069,1159
2016-11-25,18,845,853
2016-11-25,19,556,583
2016-11-25,20,319,368
2016-11-25,21,357,322
2016-11-25,22,212,218
2016-11-25,23,303,313
2016-11-26,00,105,129
2016-11-26,01,71,79
2016-11-26,02,43,45
2016-11-26,03,33,19
2016-11-26,04,58,45
2016-11-26,05,94,56
2016-11-26,06,83,40
2016-11-26,07,173,144
2016-11-26,08,395,355
2016-11-26,09,860,801
2016-11-26,10,2014,1867
2016-11-26,11,3024,2823
2016-11-26,12,2746,2810
2016-11-26,13,2070,2050
2016-11-26,14,2614,2509
2016-11-26,15,4257,3880
2016-11-26,16,5444,4618
2016-11-26,17,5529,4867
2016-11-26,18,4481,4295
2016-11-26,19,2918,3115
2016-11-26,20,1663,1830
2016-11-26,21,1438,1644
2016-11-26,22,1801,1913
2016-11-26,23,1394,1596
2016-11-27,00,884,1032
2016-11-27,01,648,557
2016-11-27,02,500,442
2016-11-27,03,493,394
2016-11-27,04,441,325
2016-11-27,05,485,325
2016-11-27,06,463,312
2016-11-27,07,326,214
2016-11-27,08,247,255
2016-11-27,09,922,774
2016-11-27,10,2079,1821
2016-11-27,11,3340,3130
2016-11-27,12,3195,3165
2016-11-27,13,3124,2591
2016-11-27,14,4820,3491
2016-11-27,15,5880,4964
2016-11-27,16,6090,4907
2016-11-27,17,6586,6011
2016-11-27,18,4991,4551
2016-11-27,19,2843,3230
